match_duration,top_kills,top_deaths,top_assists,top_gold,top_vision,top_tower_damage,jg_kills,jg_deaths,jg_assists,jg_gold,jg_vision,jg_tower_damage,mid_kills,mid_deaths,mid_assists,mid_gold,mid_vision,mid_tower_damage,bot_kills,bot_deaths,bot_assists,bot_gold,bot_vision,bot_tower_damage,sup_kills,sup_deaths,sup_assists,sup_gold,sup_vision,sup_tower_damage,team_baron_kills,team_dragon_kills,team_riftHerald_kills,team_kills,team_deaths,team_assists,team_gold,team_vision,team_tower_damage,team_win
1929,10,8,6,13446,13,9006,8,7,19,13021,44,2724,13,3,7,14494,23,5375,9,7,6,14598,18,17745,5,4,20,11030,19,1731,0,3,1,45,29,58,66589,117,36581,1
1707,9,3,3,12775,31,10910,4,4,8,10304,26,0,3,5,9,9852,18,5168,9,2,5,11010,28,8275,4,2,13,9681,60,3144,0,4,1,29,16,38,53622,163,27497,1
1707,2,4,3,8750,34,8785,4,6,9,9892,30,0,3,2,8,9285,24,6277,4,9,2,9005,21,4219,2,8,4,8598,28,4348,0,0,0,15,29,26,45530,137,23629,0
2627,4,10,6,15679,25,5678,6,15,9,14665,34,0,7,4,12,16617,16,7543,5,10,10,14342,12,1449,17,3,19,19654,95,11979,0,4,0,39,42,56,80957,182,26649,1
2627,18,11,7,22484,44,23740,8,13,7,13733,57,3471,4,3,7,13725,29,2315,3,8,11,11600,21,593,9,4,7,13942,112,7363,1,3,1,42,39,39,75484,263,37482,0
1387,12,3,5,10958,14,7180,2,1,9,9408,9,582,7,1,3,9069,12,2899,3,3,6,8880,16,2458,1,2,11,6303,45,801,0,0,1,25,10,34,44618,96,13920,1
1387,3,8,0,6083,4,123,1,6,1,7354,15,23,0,5,1,6738,12,765,6,3,0,8912,12,501,0,3,6,5644,47,116,0,2,0,10,25,8,34731,90,1528,0
926,0,2,0,3506,6,0,1,3,1,4962,2,0,0,3,1,4027,6,958,2,5,1,5201,3,0,0,3,3,3577,3,0,0,0,0,3,16,6,21273,20,958,0
926,3,0,0,5280,6,1272,3,1,4,5989,10,2647,2,0,3,5007,8,1425,3,1,6,5678,4,786,5,1,5,5995,10,1972,0,2,0,16,3,18,27949,38,8102,1
921,0,5,0,3195,6,178,0,4,0,3772,10,0,0,1,1,3559,8,0,1,3,2,4161,3,0,2,4,1,4110,23,0,0,0,0,3,17,4,18797,50,178,0
921,9,0,1,7831,7,4627,1,0,1,4987,5,0,1,1,0,5236,0,2819,3,1,4,4838,0,1052,3,2,5,4868,23,237,0,2,0,17,4,11,27760,35,8735,1
1629,12,5,2,10790,12,1143,5,4,8,10831,15,5497,3,7,5,9180,28,2148,2,4,4,7486,9,1885,2,3,6,7429,46,1701,1,2,1,24,23,25,45716,110,12374,1
1629,2,5,5,7550,4,1850,6,8,10,9888,19,3189,9,5,8,9442,14,3379,5,2,7,9946,14,4017,1,4,8,6318,1,1036,0,2,0,23,24,38,43144,52,13471,0
1302,6,2,2,7999,12,7243,5,3,5,7502,5,0,3,2,5,5976,5,786,2,4,5,6811,8,763,4,3,12,7446,21,671,0,2,0,20,14,29,35734,51,9463,1
1302,2,3,3,6355,8,3293,3,4,5,6938,15,0,6,4,2,8106,4,0,1,5,3,5140,4,404,2,4,4,6035,30,187,0,1,0,14,20,17,32574,61,3884,0
1240,4,2,0,7384,1,1464,1,1,2,6380,13,0,3,0,1,6567,12,2151,1,5,1,5077,6,1962,7,1,1,7492,8,990,0,0,1,16,9,5,32900,40,6567,1
1240,2,3,0,5960,3,175,0,2,1,5366,8,0,2,2,0,4984,11,0,4,4,2,5871,8,223,1,5,4,4978,14,488,0,1,0,9,16,7,27159,44,886,0
1730,3,8,3,8875,17,917,7,9,9,11702,23,0,4,14,2,7527,8,431,3,10,4,7782,1,2957,5,7,5,9925,49,1908,0,0,0,22,48,23,45811,98,6213,0
1730,7,5,5,13167,19,12467,15,7,11,13207,5,751,9,4,16,10776,10,1856,12,4,10,13452,14,5529,5,3,22,10709,61,2572,0,4,1,48,23,64,61311,109,23175,1
2280,5,13,10,11760,16,4339,9,6,5,15302,27,1594,7,9,21,15729,30,11374,28,9,7,20733,37,931,10,5,20,13190,69,1094,1,1,0,59,42,63,76714,179,19332,0
